Sample in Buffer,Sample in Window,TRIGGER,i_clk_IBUF_BUFG,o_busy,o_cena,o_wea,o_addra[4:0],o_dina[1027:0],o_cenb,o_addrb[4:0],i_doutb[1027:0],o_length_mode[3:0],o_valid,o_in_x_flat[1023:0],i_valid,i_prob_flat[1023:0],i_en,i_start,test_state
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,0,0,0,00,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,00,4fdfefb0908aafee00aef07edf7d9f9c3f56e01a5f9fd0539f6def664fca9f9f40575f9f80b34f82b02ed0452f5b9fa26012efba201dffe21008af855f50f09010bc2005e038df63ffa4a0abdf985fd9efe86f9b205de063bfd5af895fdfaf50df98efbeffd6806ac01a8f5060706fb030394fb3cf48ef4a70925fd79f84e0278,4,0,fdfefb0908aafee00aef07edf7d9f9c3f56e01a5f9fd0539f6def664fca9f9f40575f9f80b34f82b02ed0452f5b9fa26012efba201dffe21008af855f50f09010bc2005e038df63ffa4a0abdf985fd9efe86f9b205de063bfd5af895fdfaf50df98efbeffd6806ac01a8f5060706fb030394fb3cf48ef4a70925fd79f84e0278,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,0
1,1,0,0,0,0,0,00,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,00,4fdfefb0908aafee00aef07edf7d9f9c3f56e01a5f9fd0539f6def664fca9f9f40575f9f80b34f82b02ed0452f5b9fa26012efba201dffe21008af855f50f09010bc2005e038df63ffa4a0abdf985fd9efe86f9b205de063bfd5af895fdfaf50df98efbeffd6806ac01a8f5060706fb030394fb3cf48ef4a70925fd79f84e0278,4,0,fdfefb0908aafee00aef07edf7d9f9c3f56e01a5f9fd0539f6def664fca9f9f40575f9f80b34f82b02ed0452f5b9fa26012efba201dffe21008af855f50f09010bc2005e038df63ffa4a0abdf985fd9efe86f9b205de063bfd5af895fdfaf50df98efbeffd6806ac01a8f5060706fb030394fb3cf48ef4a70925fd79f84e0278,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,0
2,2,0,0,0,0,0,00,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,00,4fdfefb0908aafee00aef07edf7d9f9c3f56e01a5f9fd0539f6def664fca9f9f40575f9f80b34f82b02ed0452f5b9fa26012efba201dffe21008af855f50f09010bc2005e038df63ffa4a0abdf985fd9efe86f9b205de063bfd5af895fdfaf50df98efbeffd6806ac01a8f5060706fb030394fb3cf48ef4a70925fd79f84e0278,4,0,fdfefb0908aafee00aef07edf7d9f9c3f56e01a5f9fd0539f6def664fca9f9f40575f9f80b34f82b02ed0452f5b9fa26012efba201dffe21008af855f50f09010bc2005e038df63ffa4a0abdf985fd9efe86f9b205de063bfd5af895fdfaf50df98efbeffd6806ac01a8f5060706fb030394fb3cf48ef4a70925fd79f84e0278,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,0
3,3,0,0,0,0,0,00,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,00,4fdfefb0908aafee00aef07edf7d9f9c3f56e01a5f9fd0539f6def664fca9f9f40575f9f80b34f82b02ed0452f5b9fa26012efba201dffe21008af855f50f09010bc2005e038df63ffa4a0abdf985fd9efe86f9b205de063bfd5af895fdfaf50df98efbeffd6806ac01a8f5060706fb030394fb3cf48ef4a70925fd79f84e0278,4,0,fdfefb0908aafee00aef07edf7d9f9c3f56e01a5f9fd0539f6def664fca9f9f40575f9f80b34f82b02ed0452f5b9fa26012efba201dffe21008af855f50f09010bc2005e038df63ffa4a0abdf985fd9efe86f9b205de063bfd5af895fdfaf50df98efbeffd6806ac01a8f5060706fb030394fb3cf48ef4a70925fd79f84e0278,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,0
4,4,0,0,0,0,0,00,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,00,4fdfefb0908aafee00aef07edf7d9f9c3f56e01a5f9fd0539f6def664fca9f9f40575f9f80b34f82b02ed0452f5b9fa26012efba201dffe21008af855f50f09010bc2005e038df63ffa4a0abdf985fd9efe86f9b205de063bfd5af895fdfaf50df98efbeffd6806ac01a8f5060706fb030394fb3cf48ef4a70925fd79f84e0278,4,0,fdfefb0908aafee00aef07edf7d9f9c3f56e01a5f9fd0539f6def664fca9f9f40575f9f80b34f82b02ed0452f5b9fa26012efba201dffe21008af855f50f09010bc2005e038df63ffa4a0abdf985fd9efe86f9b205de063bfd5af895fdfaf50df98efbeffd6806ac01a8f5060706fb030394fb3cf48ef4a70925fd79f84e0278,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,0
5,5,0,0,0,0,0,00,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,00,4fdfefb0908aafee00aef07edf7d9f9c3f56e01a5f9fd0539f6def664fca9f9f40575f9f80b34f82b02ed0452f5b9fa26012efba201dffe21008af855f50f09010bc2005e038df63ffa4a0abdf985fd9efe86f9b205de063bfd5af895fdfaf50df98efbeffd6806ac01a8f5060706fb030394fb3cf48ef4a70925fd79f84e0278,4,0,fdfefb0908aafee00aef07edf7d9f9c3f56e01a5f9fd0539f6def664fca9f9f40575f9f80b34f82b02ed0452f5b9fa26012efba201dffe21008af855f50f09010bc2005e038df63ffa4a0abdf985fd9efe86f9b205de063bfd5af895fdfaf50df98efbeffd6806ac01a8f5060706fb030394fb3cf48ef4a70925fd79f84e0278,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,0
6,6,0,0,0,0,0,00,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,00,4fdfefb0908aafee00aef07edf7d9f9c3f56e01a5f9fd0539f6def664fca9f9f40575f9f80b34f82b02ed0452f5b9fa26012efba201dffe21008af855f50f09010bc2005e038df63ffa4a0abdf985fd9efe86f9b205de063bfd5af895fdfaf50df98efbeffd6806ac01a8f5060706fb030394fb3cf48ef4a70925fd79f84e0278,4,0,fdfefb0908aafee00aef07edf7d9f9c3f56e01a5f9fd0539f6def664fca9f9f40575f9f80b34f82b02ed0452f5b9fa26012efba201dffe21008af855f50f09010bc2005e038df63ffa4a0abdf985fd9efe86f9b205de063bfd5af895fdfaf50df98efbeffd6806ac01a8f5060706fb030394fb3cf48ef4a70925fd79f84e0278,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,0
7,7,0,0,0,0,0,00,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,00,4fdfefb0908aafee00aef07edf7d9f9c3f56e01a5f9fd0539f6def664fca9f9f40575f9f80b34f82b02ed0452f5b9fa26012efba201dffe21008af855f50f09010bc2005e038df63ffa4a0abdf985fd9efe86f9b205de063bfd5af895fdfaf50df98efbeffd6806ac01a8f5060706fb030394fb3cf48ef4a70925fd79f84e0278,4,0,fdfefb0908aafee00aef07edf7d9f9c3f56e01a5f9fd0539f6def664fca9f9f40575f9f80b34f82b02ed0452f5b9fa26012efba201dffe21008af855f50f09010bc2005e038df63ffa4a0abdf985fd9efe86f9b205de063bfd5af895fdfaf50df98efbeffd6806ac01a8f5060706fb030394fb3cf48ef4a70925fd79f84e0278,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,0
8,8,0,0,0,0,0,00,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,00,4fdfefb0908aafee00aef07edf7d9f9c3f56e01a5f9fd0539f6def664fca9f9f40575f9f80b34f82b02ed0452f5b9fa26012efba201dffe21008af855f50f09010bc2005e038df63ffa4a0abdf985fd9efe86f9b205de063bfd5af895fdfaf50df98efbeffd6806ac01a8f5060706fb030394fb3cf48ef4a70925fd79f84e0278,4,0,fdfefb0908aafee00aef07edf7d9f9c3f56e01a5f9fd0539f6def664fca9f9f40575f9f80b34f82b02ed0452f5b9fa26012efba201dffe21008af855f50f09010bc2005e038df63ffa4a0abdf985fd9efe86f9b205de063bfd5af895fdfaf50df98efbeffd6806ac01a8f5060706fb030394fb3cf48ef4a70925fd79f84e0278,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,0
9,9,0,0,0,0,0,00,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,00,4fdfefb0908aafee00aef07edf7d9f9c3f56e01a5f9fd0539f6def664fca9f9f40575f9f80b34f82b02ed0452f5b9fa26012efba201dffe21008af855f50f09010bc2005e038df63ffa4a0abdf985fd9efe86f9b205de063bfd5af895fdfaf50df98efbeffd6806ac01a8f5060706fb030394fb3cf48ef4a70925fd79f84e0278,4,0,fdfefb0908aafee00aef07edf7d9f9c3f56e01a5f9fd0539f6def664fca9f9f40575f9f80b34f82b02ed0452f5b9fa26012efba201dffe21008af855f50f09010bc2005e038df63ffa4a0abdf985fd9efe86f9b205de063bfd5af895fdfaf50df98efbeffd6806ac01a8f5060706fb030394fb3cf48ef4a70925fd79f84e0278,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,0
10,10,1,0,0,0,0,00,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,00,4fdfefb0908aafee00aef07edf7d9f9c3f56e01a5f9fd0539f6def664fca9f9f40575f9f80b34f82b02ed0452f5b9fa26012efba201dffe21008af855f50f09010bc2005e038df63ffa4a0abdf985fd9efe86f9b205de063bfd5af895fdfaf50df98efbeffd6806ac01a8f5060706fb030394fb3cf48ef4a70925fd79f84e0278,4,0,fdfefb0908aafee00aef07edf7d9f9c3f56e01a5f9fd0539f6def664fca9f9f40575f9f80b34f82b02ed0452f5b9fa26012efba201dffe21008af855f50f09010bc2005e038df63ffa4a0abdf985fd9efe86f9b205de063bfd5af895fdfaf50df98efbeffd6806ac01a8f5060706fb030394fb3cf48ef4a70925fd79f84e0278,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,0
11,11,0,0,0,0,0,00,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,00,4fdfefb0908aafee00aef07edf7d9f9c3f56e01a5f9fd0539f6def664fca9f9f40575f9f80b34f82b02ed0452f5b9fa26012efba201dffe21008af855f50f09010bc2005e038df63ffa4a0abdf985fd9efe86f9b205de063bfd5af895fdfaf50df98efbeffd6806ac01a8f5060706fb030394fb3cf48ef4a70925fd79f84e0278,4,0,fdfefb0908aafee00aef07edf7d9f9c3f56e01a5f9fd0539f6def664fca9f9f40575f9f80b34f82b02ed0452f5b9fa26012efba201dffe21008af855f50f09010bc2005e038df63ffa4a0abdf985fd9efe86f9b205de063bfd5af895fdfaf50df98efbeffd6806ac01a8f5060706fb030394fb3cf48ef4a70925fd79f84e0278,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,1,1
12,12,0,0,1,0,0,00,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,00,4fdfefb0908aafee00aef07edf7d9f9c3f56e01a5f9fd0539f6def664fca9f9f40575f9f80b34f82b02ed0452f5b9fa26012efba201dffe21008af855f50f09010bc2005e038df63ffa4a0abdf985fd9efe86f9b205de063bfd5af895fdfaf50df98efbeffd6806ac01a8f5060706fb030394fb3cf48ef4a70925fd79f84e0278,4,0,fdfefb0908aafee00aef07edf7d9f9c3f56e01a5f9fd0539f6def664fca9f9f40575f9f80b34f82b02ed0452f5b9fa26012efba201dffe21008af855f50f09010bc2005e038df63ffa4a0abdf985fd9efe86f9b205de063bfd5af895fdfaf50df98efbeffd6806ac01a8f5060706fb030394fb3cf48ef4a70925fd79f84e0278,0,8000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000,1,0,0
13,13,0,0,1,0,0,0c,08000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000800080008000,1,01,309b406a3fced0936f8a90330f75b06e0064902cafe430bf8f8a9fada051cfa46f6b7fde30495f6c009e60474f5e9f8a1fe8403c705bbf827f80803f6fc6904c7024efaa5030afe7affc20942fea2f5e8fe0e02a5fec60b05fb8c040af98ffa55fa300a1f0b31024a0486033c029afbedf857fdeaf88204d3ff61fa150b5dfab1,3,0,09b406a3fced0936f8a90330f75b06e0064902cafe430bf8f8a9fada051cfa46f6b7fde30495f6c009e60474f5e9f8a1fe8403c705bbf827f80803f6fc6904c7024efaa5030afe7affc20942fea2f5e8fe0e02a5fec60b05fb8c040af98ffa55fa300a1f0b31024a0486033c029afbedf857fdeaf88204d3ff61fa150b5dfab1,0,000d0000002e0010000d000f004d00000001000100000003000400030007000500000008003800000004000b000b0004001b000e000000030053002d00020006001c0002000f0009000100010003000200010007003b000100010000001a0040001c00150001006d00170000000200000018001a000100000035003700140000,1,1,1
14,14,0,0,1,0,0,0c,0000d0000002e0010000d000f004d00000001000100000003000400030007000500000008003800000004000b000b0004001b000e000000030053002d00020006001c0002000f0009000100010003000200010007003b000100010000001a0040001c00150001006d00170000000200000018001a000100000035003700140000,1,02,5013e00adf93704f9f67b0a42fcc7fb37fe44fc0bff9f06820761016d029206ffffe9f5ef089307b0008c009dfd3cfd430962fe220142011ff4a1f97b036d011dfaf6f6b9067dffa007ed019300dafdfa047401cc003b0934f992fbcdf656fda103e3fce40004f4e808390238f7b6ff6702700425fe4f05eef8c9f740f798fddd,5,1,013e00adf93704f9f67b0a42fcc7fb37fe44fc0bff9f06820761016d029206ffffe9f5ef089307b0008c009dfd3cfd430962fe220142011ff4a1f97b036d011dfaf6f6b9067dffa007ed019300dafdfa047401cc003b0934f992fbcdf656fda103e3fce40004f4e808390238f7b6ff6702700425fe4f05eef8c9f740f798fddd,0,000d0000002e0010000d000f004d00000001000100000003000400030007000500000008003800000004000b000b0004001b000e000000030053002d00020006001c0002000f0009000100010003000200010007003b000100010000001a0040001c00150001006d00170000000200000018001a000100000035003700140000,1,0,0
15,15,0,0,1,0,0,0c,0000d0000002e0010000d000f004d00000001000100000003000400030007000500000008003800000004000b000b0004001b000e000000030053002d00020006001c0002000f0009000100010003000200010007003b000100010000001a0040001c00150001006d00170000000200000018001a000100000035003700140000,1,03,5088a063d075c00b0fb320151f5a002410401ffb2fa3ff63c049ffdec0aa2fdcffb910ab4fd4408ed0b86fa64ff17fb0dfd51f9da0b2a084304c60906fd7ffa97fcb1f775f790084ef70f03090a130174ff4af5510041f96c0845f968fa8efb7305d70b3d0a370a97f4ae0be7fc0f0045f66306bff465fe3e05a8017f0488f52c,5,1,088a063d075c00b0fb320151f5a002410401ffb2fa3ff63c049ffdec0aa2fdcffb910ab4fd4408ed0b86fa64ff17fb0dfd51f9da0b2a084304c60906fd7ffa97fcb1f775f790084ef70f03090a130174ff4af5510041f96c0845f968fa8efb7305d70b3d0a370a97f4ae0be7fc0f0045f66306bff465fe3e05a8017f0488f52c,0,000d0000002e0010000d000f004d00000001000100000003000400030007000500000008003800000004000b000b0004001b000e000000030053002d00020006001c0002000f0009000100010003000200010007003b000100010000001a0040001c00150001006d00170000000200000018001a000100000035003700140000,1,1,1
